example_id                                         | status | run_time        |
./spec/services/tmdb_service_spec.rb[1:2:9]        | passed | 0.00164 seconds |
./spec/services/tmdb_service_spec.rb[1:2:10]       | passed | 0.00205 seconds |
./spec/services/tmdb_service_spec.rb[1:2:11]       | passed | 0.00235 seconds |
./spec/services/tmdb_service_spec.rb[1:2:12]       | passed | 0.00196 seconds |
./spec/services/tmdb_service_spec.rb[1:2:13]       | passed | 0.00328 seconds |
./spec/swagger/v1/genres_spec.rb[1:1:1:1:1]        | passed | 0.0082 seconds  |
./spec/swagger/v1/genres_spec.rb[1:1:1:2:1]        | passed | 0.01604 seconds |
./spec/swagger/v1/genres_spec.rb[1:2:1:1:1]        | passed | 0.70571 seconds |
./spec/swagger/v1/genres_spec.rb[1:2:1:2:1]        | passed | 0.00328 seconds |
./spec/swagger/v1/genres_spec.rb[1:2:1:3:1]        | passed | 0.00455 seconds |
./spec/swagger/v1/media_items_spec.rb[1:1:1:1:1]   | passed | 0.75194 seconds |
./spec/swagger/v1/media_items_spec.rb[1:1:1:2:1:1] | passed | 0.00325 seconds |
./spec/swagger/v1/media_items_spec.rb[1:1:1:2:2:1] | passed | 0.0025 seconds  |
./spec/swagger/v1/media_items_spec.rb[1:1:1:2:3:1] | passed | 0.00334 seconds |
./spec/swagger/v1/media_items_spec.rb[1:1:1:2:4:1] | passed | 0.0035 seconds  |
./spec/swagger/v1/media_items_spec.rb[1:1:1:3:1]   | passed | 0.00528 seconds |
